LastName, FirstName, Major, GPA,
Smith, John, Mathematics, 3.75
Gray, Daniel, Political Science, 3.45
Griffin, Scarlett, Economics, 3.24
Harris, David, Chemistry, 3.56
Hayes, Grace, English, 3.00
Hernandez, Noah, Physics, 3.35
Hill, Mia, Anthropology, 3.47
Hughes, Noah, Computer Engineering, 3.62
Jackson, Sophia, Psychology, 3.37
Jenkins, Liam, Sociology, 3.46
Johnson, Michael, Economics, 3.22
Jones, Ava, Business Administration, 3.55
Kelly, Scarlett, Fine Arts, 3.66
King, David, Computer Science, 3.59
Lee, Alexander, Nursing, 2.94
Lewis, Mia, Biology, 3.25
Long, Ethan, Mathematics, 3.30
Martinez, Michael, History, 3.04
Miller, Ava, Sociology, 3.41
Moore, Liam, Engineering, 3.57
Nelson, Sophia, Linguistics, 3.15
Parker, Daniel, Political Science, 3.44
Perez, Grace, Economics, 3.23
Phillips, David, Chemistry, 3.55
Powell, Mia, English, 2.99
Price, Noah, Physics, 3.34
Ramirez, Scarlett, Anthropology, 3.46
Reed, Alexander, Computer Engineering, 3.61
Richardson, Ava, Psychology, 3.36
Rivera, Liam, Sociology, 3.45
Roberts, Michael, Economics, 3.21
Rodriguez, Penelope, Business Administration, 3.54
Ross, Sophia, Fine Arts, 3.65
Russell, David, Computer Science, 3.58
Sanchez, Mia, Nursing, 2.93
Scott, Alexander, Biology, 3.24
Simmons, Ava, Mathematics, 3.29
Smith, Michael, History, 3.03
Stewart, Scarlett, Sociology, 3.40
Taylor, David, Engineering, 3.56
Thomas, Grace, Linguistics, 3.14
Thompson, Noah, Political Science, 3.43
Torres, Amelia, Economics, 3.22
Turner, Liam, Chemistry, 3.54
Walker, Mia, English, 2.98
Ward, Alexander, Physics, 3.33
Watson, Benjamin, Anthropology, 3.45
White, Michael, Computer Engineering, 3.60
Williams, Ava, Psychology, 3.35
Wilson, David, Sociology, 3.44
Wood, Mia, Economics, 3.20
Wright, Scarlett, Business Administration, 3.53
Young, Noah, Fine Arts, 3.64
Adams, Alexander, Computer Science, 3.57
Allen, Mia, Nursing, 2.92
Anderson, Daniel, Biology, 3.23
Baker, Ava, Mathematics, 3.28
Bell, Benjamin, History, 3.02
Brown, Penelope, Sociology, 3.39
Carter, Liam, Economics, 3.18
Clark, Michael, Business Administration, 3.51
Collins, Grace, Fine Arts, 3.62
Cruz, David, Computer Engineering, 3.55
Davis, Scarlett, Psychology, 3.30
Edwards, Alexander, Sociology, 3.39
Fisher, Ava, Chemistry, 3.51
Flores, Michael, English, 2.97
Garcia, Mia, Physics, 3.32
Gonzalez, David, Anthropology, 3.44
Gray, Scarlett, Computer Science, 3.56
